"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.97202,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.92773,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.0298,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.3437,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.6948,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-01",100.8202,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-02",100.4582,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.37786,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-04",97.81908,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-05",97.05473,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-06",97.19511,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-07",97.69338,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-08",97.90426,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-09",97.72504,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-10",97.38472,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-11",97.28661,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2020-12",97.70135,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-01",98.29536,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.37321,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-03",100.6882,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-04",101.7236,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-05",102.5142,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-06",102.8696,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-07",102.8136,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-08",102.2935,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-09",101.4304,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-10",100.7153,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-11",100.3835,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2021-12",99.90011,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-01",98.87414,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-02",97.34772,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-03",95.78647,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-04",94.46963,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-05",93.69205,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-06",93.26855,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-07",92.923,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-08",92.38828,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-09",91.94593,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-10",92.05472,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-11",92.49827,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2022-12",92.92365,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2023-01",93.36875,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",101.0023,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",101.0568,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",101.276,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",101.4367,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",101.5251,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",101.4308,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",101.1977,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.9,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.8999,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",101.1039,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",101.374,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",101.603,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",101.6014,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.1711,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.1679,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",99.07677,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.57415,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.5241,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.54149,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.74434,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.05836,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.20786,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.16454,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.16763,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.17374,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.31405,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.68224,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.92783,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",99.8688,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",99.65782,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-07",99.18728,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-08",98.61514,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-09",98.31478,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-10",98.12716,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-11",97.96396,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-12",97.86197,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-01",97.62561,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-02",97.31638,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.07753,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-04",96.91045,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.5018,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.09296,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-07",96.06521,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.33134,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.54515,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.64653,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-11",96.69615,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-12",96.91941,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2023-01",97.29351,
